Methanol_T,Methanol_P
65.4946269462695,127.715164817371
65.4965329653296,127.777631769955
65.4984389843898,127.840125414134
65.50034500345,127.902645731636
65.5022510225102,127.965192749302
65.5041570415704,128.027766461079
65.5060630606306,128.090366869059
65.5079690796908,128.152994007206
65.509875098751,128.215647861367
65.5117811178112,128.278328470057
65.5136871368714,128.341035824365
65.5155931559316,128.40376992078
65.5174991749917,128.466530790614
65.5194051940519,128.529318446318
65.5213112131121,128.592132900072
65.5232172321723,128.654974131107
65.5251232512325,128.717842154924
65.5270292702927,128.780737014271
65.5289352893529,128.843658690824
65.5308413084131,128.906607198048
65.5327473274733,128.969582555747
65.5346533465335,129.032584760028
65.5365593655936,129.095613839434
65.5384653846538,129.15866977618
65.540371403714,129.221752602036
65.5422774227742,129.284862328142
65.5441834418344,129.347998960319
65.5460894608946,129.411162491922
65.5479954799548,129.47435293934
65.549901499015,129.537570318374
65.5518075180752,129.600814627174
65.5537135371354,129.664085921235
65.5556195561956,129.727384151659
65.5575255752558,129.790709355835
65.5594315943159,129.854061520963
65.5613376133761,129.91744069569
65.5632436324363,129.980846874314
65.5651496514965,130.044280046394
65.5670556705567,130.10774026249
65.5689616896169,130.171227467011
65.5708677086771,130.234741725354
65.5727737277373,130.298283019755
65.5746797467975,130.361851396252
65.5765857658577,130.425446826279
65.5784917849178,130.489069333422
65.580397803978,130.5527189228
65.5823038230382,130.616395617792
65.5842098420984,130.680099397744
65.5861158611586,130.74383031166
65.5880218802188,130.807588339046
65.589927899279,130.871373507136
65.5918339183392,130.935185813461
65.5937399373994,130.999025277511
65.5956459564596,131.062891912364
65.5975519755197,131.126785718409
65.59945799458,131.190706702309
65.6013640136401,131.254654867775
65.6032700327003,131.318630249934
65.6051760517605,131.382632849314
65.6070820708207,131.446662657781
65.6089880898809,131.510719708205
65.6108941089411,131.574804003645
65.6128001280013,131.638915525404
65.6147061470615,131.703054338677
65.6166121661217,131.767220397166
65.6185181851819,131.831413755912
65.620424204242,131.895634395769
65.6223302233022,131.959882328808
65.6242362423624,132.024157582038
65.6261422614226,132.08846016033
65.6280482804828,132.152790054735
65.629954299543,132.217147288357
65.6318603186032,132.281531884325
65.6337663376634,132.345943830254
65.6356723567236,132.410383148349
65.6375783757838,132.474849837632
65.6394843948439,132.539343925129
65.6413904139041,132.603865400954
65.6432964329643,132.668414280552
65.6452024520245,132.732990592479
65.6471084710847,132.797594325739
65.6490144901449,132.862225489898
65.6509205092051,132.926884101317
65.6528265282653,132.99157017595
65.6547325473255,133.056283707656
65.6566385663857,133.121024735084
65.6585445854459,133.185793226778
65.660450604506,133.250589241522
65.6623566235662,133.315412749111
65.6642626426264,133.380263755021
65.6661686616866,133.445142303953
65.6680746807468,133.510048379048
65.669980699807,133.574981996681
65.6718867188672,133.639943183601
65.6737927379274,133.70493193206
65.6756987569876,133.769948258959
65.6776047760478,133.834992157665
65.6795107951079,133.900063664096
65.6814168141681,133.965162770436
65.6833228332283,134.030289492259
65.6852288522885,134.095443841111
65.6871348713487,134.160625801927
65.6890408904089,134.225835433756
65.6909469094691,134.291072709053
65.6928529285293,134.356337640671
65.6947589475895,134.421630251831
65.6966649666497,134.486950557707
65.6985709857098,134.552298540057
65.7004770047701,134.617674228014
65.7023830238302,134.683077638268
65.7042890428904,134.748508757667
65.7061950619506,134.813967635375
65.7081010810108,134.879454218716
65.710007100071,134.944968573815
65.7119131191312,135.010510684761
65.7138191381914,135.076080578283
65.7157251572516,135.141678252885
65.7176311763118,135.207303716889
65.719537195372,135.272956980201
65.7214432144321,135.338638064953
65.7233492334923,135.404346955149
65.7252552525525,135.470083692739
65.7271612716127,135.535848260768
65.7290672906729,135.601640682853
65.7309733097331,135.667460957318
65.7328793287933,135.733309135025
65.7347853478535,135.799185176008
65.7366913669137,135.86508908924
65.7385973859739,135.931020925337
65.740503405034,135.99698066608
65.7424094240942,136.062968333619
65.7443154431544,136.128983947633
65.7462214622146,136.195027471784
65.7481274812748,136.261098960611
65.750033500335,136.327198404638
65.7519395193952,136.393325828401
65.7538455384554,136.459481214804
65.7557515575156,136.525664616018
65.7576575765758,136.591876019549
65.759563595636,136.658115421001
65.7614696146962,136.724382852285
65.7633756337563,136.790678305527
65.7652816528165,136.857001801914
65.7671876718767,136.923353347822
65.7690936909369,136.989732950606
65.7709997099971,137.056140625513
65.7729057290573,137.122576388683
65.7748117481175,137.189040231488
65.7767177671777,137.255532183998
65.7786237862379,137.322052237865
65.7805298052981,137.388600426297
65.7824358243582,137.455176737575
65.7843418434184,137.521781190825
65.7862478624786,137.588413803082
65.7881538815388,137.655074556891
65.790059900599,137.721763494901
65.7919659196592,137.788480611255
65.7938719387194,137.855225928768
65.7957779577796,137.921999435913
65.7976839768398,137.988801154667
65.7995899959,138.055631098367
65.8014960149602,138.12248926598
65.8034020340203,138.189375683136
65.8053080530805,138.256290342065
65.8072140721407,138.323233262003
65.8091200912009,138.390204466374
65.8110261102611,138.45720393834
65.8129321293213,138.52423169225
65.8148381483815,138.591287764004
65.8167441674417,138.658372155774
65.8186501865019,138.72548485988
65.8205562055621,138.792625891554
65.8224622246222,138.859795256354
65.8243682436824,138.926992981171
65.8262742627426,138.994219078456
65.8281802818028,139.061473525543
65.830086300863,139.128756384754
65.8319923199232,139.196067612319
65.8338983389834,139.263407230911
65.8358043580436,139.330775288116
65.8377103771038,139.398171758181
65.839616396164,139.465596664181
65.8415224152241,139.533050001027
65.8434284342843,139.600531799325
65.8453344533445,139.668042067723
65.8472404724047,139.735580797183
65.8491464914649,139.803148009208
65.8510525105251,139.870743704073
65.8529585295853,139.93836791545
65.8548645486455,140.006020635898
65.8567705677057,140.073701877357
65.8586765867659,140.141411663241
65.8605826058261,140.20914997844
65.8624886248863,140.276916866159
65.8643946439464,140.344712286913
65.8663006630066,140.412536298564
65.8682066820668,140.480388907307
65.870112701127,140.548270104617
65.8720187201872,140.616179902417
65.8739247392474,140.684118303831
65.8758307583076,140.752085331677
65.8777367773678,140.820080991211
65.879642796428,140.888105308601
65.8815488154882,140.956158276747
65.8834548345483,141.024239911186
65.8853608536085,141.092350223354
